	start	stop	strand
b4513	728731	728821	-1
b0699	729133	729340	1
b0700	729582	733776	1
b0702	733775	734102	1
b0704	735649	736219	1
b4514	736444	736699	1
b0706	738091	738853	1
b0707	739000	739510	1
b0708	739506	740925	1
b0709	741074	742556	-1
b0710	742826	743570	1
b0711	743592	744249	1
b0712	744242	745175	1
b0713	745164	745899	1
b0714	745934	746726	1
b0715	746722	747769	-1
b0716	747920	748982	-1
b0717	748978	749707	-1
b0718	749721	752169	-1
b0719	752228	752795	-1
b0720	753184	754468	-1
b4735	754673	754781	-1
b0721	755176	755566	1
b0722	755559	755907	1
b0723	755906	757673	1
b0724	757688	758405	1
b0726	758705	761507	1
b0727	761521	762739	1
b0728	763013	764180	1
b0729	764179	765049	1
b0730	765152	765875	-1
b0731	765983	767960	1
b0732	767977	770611	1
b0733	771457	773026	1
b0734	773041	774181	1
b4515	774195	774309	1
b0735	774308	774602	1
b0736	774751	775156	1
b0737	775152	775845	1
b0738	775848	776277	1
b0739	776341	777607	1
b0740	777739	779032	1
b0741	779066	779588	1
b0742	779597	780389	1
b0750	782084	783128	1
b0751	783165	783885	1
b0752	783881	784823	-1
b0753	784936	785317	-1
b0754	785632	786685	1
b0755	786842	787595	-1
b0756	787796	788837	-1
b0757	788830	789979	-1
b0758	789982	791029	-1
b0759	791038	792055	-1
b0760	792315	793788	-1
b0761	793855	794644	-1
b0762	794772	794922	1
b0763	795088	795862	1
b0764	795861	796551	1
b0765	796553	797612	1
b0766	797612	798431	-1
b0767	798585	799581	1
b0768	799621	800575	-1
b0769	800758	801811	1
b0770	801886	803320	1
b0771	803502	805764	1
b0772	805997	807281	-1
b0773	807432	807909	-1
b0774	807967	809257	-1
b0775	809343	810384	1
b0776	810380	811535	1
b0777	811521	812277	1
b0778	812269	812947	1
b0779	813525	815547	1
b0780	815738	816647	-1
b0781	817043	818033	1
b0782	818054	818567	1
b0783	818569	819055	1
b0784	819047	819293	1
b0785	819294	819747	1
b0786	819883	820588	1
b0787	820792	821506	1
b0788	821541	822498	-1
b0789	822497	823739	-1
b0790	823735	824497	-1
b0791	824629	825040	1
b0792	825001	826108	-1
b0793	826118	827252	-1
b0794	827244	828981	-1
b0795	828973	829972	-1
b0796	829971	830643	-1
b0797	830871	832236	1
b0798	832467	832950	-1
b0799	833069	835220	1
b0800	835247	836210	1
b0801	836350	837436	1
b0802	837664	837925	-1
b0803	838189	838456	-1
b0804	838529	839207	-1
b0805	839248	841531	-1
b0806	841795	842056	-1
b0807	842331	843258	1
b0808	843254	845480	-1
b0809	845740	846463	-1
b0810	846459	847119	-1
b0811	847257	848004	-1
b0812	848407	848911	-1
b0813	849209	850097	-1
b4736	850331	850397	1
b0814	850449	850965	1
b0815	851013	852597	-1
b4705	852868	852997	-1
b0817	853182	853650	1
b0818	853646	854765	1
b0819	854823	855744	-1
b0820	855962	857555	1
b0821	857795	859061	-1
b0822	859212	860028	-1
b0823	860173	862606	-1
b0824	862611	863511	-1
b0825	863641	864304	1
b0826	864379	865129	-1
b0827	865128	866364	-1
b0828	866567	867533	1
b0829	867519	869391	1
b0830	869410	870949	1
b0831	870966	871887	1
b0832	871889	872801	1
b0833	872978	875327	1
b0834	875334	876663	1
b0835	876709	878035	-1
b0836	878247	878631	1
b0837	878741	879857	1
b0838	879853	880480	-1
b0839	880726	881929	1
b0840	881975	882734	-1
b0841	882791	883388	-1
b0842	883672	884905	1
b0843	884945	885230	-1
b0844	885315	886131	-1
b0845	886130	887339	-1
b0846	887422	887959	1
b0847	888133	889819	-1
b0848	890088	890466	1
b0849	890495	890753	-1
b0850	890912	891200	1
b0851	891183	891906	1
b0852	891966	892869	1
b0853	892956	893433	1
b0854	893783	894896	1
b0855	894990	896124	1
b0856	896133	897087	1
b0857	897083	897929	1
b0858	897988	898477	1
b0859	898517	899645	1
b0860	899843	900575	-1
b0861	900865	901534	-1
b0862	901533	902250	-1
b0863	902256	902988	-1
b0864	903005	903734	-1
b0865	903951	904467	-1
b0866	904592	904916	1
b0867	904912	905743	1
b0868	905739	906753	-1
b0869	906851	908282	-1
b0870	908292	909294	-1
b0871	909330	911049	-1
b0872	911181	912150	-1
b0873	912161	913814	-1
b0874	913957	914857	-1
b0875	915351	916047	-1
b0876	916472	918131	1
b0877	918127	919120	-1
b0878	919234	920350	1
b0879	920346	922293	1
b0880	922365	922590	-1
b0881	922912	923233	1
b0882	923263	925540	1
b0884	926224	926443	-1
b0885	926727	927432	-1
b0886	927473	929195	-1
b0887	929195	930962	-1
b0888	931084	932050	-1
b0889	932594	933089	1
b0890	933223	937213	1
b0891	937371	937983	1
b0892	937993	939337	1
b0893	939427	940720	1
b0894	940958	943403	1
b0895	943413	944031	1
b0896	944032	944896	1
b0897	944930	945557	-1
b0898	945870	947019	1
b0899	947228	948659	1
b0900	948659	949568	-1
b0901	949667	950258	1
b0902	950339	951080	-1
b0903	951271	953554	-1
b0904	953608	954466	-1
b0905	954871	956632	-1
b0906	956761	957454	1
b0907	957652	958741	1
b0908	958811	960095	1
b0909	960263	961028	1
b0910	961200	961884	1
b0911	961994	963668	1
b0912	963827	964112	1
b0913	964319	966584	1
b0914	966620	968369	1
b0915	968365	969352	1
b0916	969388	970621	1
b0917	970672	970855	1
b0918	970851	971598	1
b0919	971751	972645	1
b0920	972621	973401	-1
b0921	973536	974322	1
b0922	974318	975641	1
b0923	975621	976326	1
b0924	976325	980786	1
b0925	981046	982894	1
b0926	983074	983623	1
b0927	983649	984297	1
b0928	984518	985709	-1
b0929	985893	986982	-1
b0930	987584	988985	-1
b0931	989153	990356	-1
b0932	990621	993234	1
b0933	993276	994044	-1
b0934	994040	994832	-1
b0935	994842	995988	-1
b0936	995984	996944	-1
b0937	996936	997512	-1
b0938	997867	998407	1
b0939	998489	999191	1
b0940	999215	1001816	1
b0941	1001806	1002877	1
b0942	1002888	1003431	1
b0943	1003438	1003954	1
b0944	1003946	1004657	1
b0945	1004767	1005778	1
b0946	1005951	1006494	1
b0947	1006490	1007600	-1
b0948	1007843	1009952	1
b0949	1009963	1011871	1
b0950	1012000	1013254	1
b0951	1013258	1014899	1
b0952	1014895	1015459	1
b0953	1015714	1015882	1
b0954	1015951	1016470	-1
b0955	1016538	1018299	-1
b0956	1018484	1018937	1
b0957	1019012	1020053	-1
b0958	1020409	1020919	-1
b0959	1021137	1021767	1
b0960	1021729	1023883	-1
b0961	1023901	1024348	-1
b0962	1024470	1026525	1
b0963	1026556	1027015	-1
b0964	1027110	1027773	-1
b0965	1027945	1028359	1
b0966	1028403	1028721	-1
b0967	1028778	1029969	-1
b0968	1030063	1030342	1
b0969	1030338	1030668	-1
b0970	1030758	1031418	-1
b0972	1032138	1033257	1
b0973	1033253	1035047	1
b0974	1035065	1035773	1
b0975	1035769	1036357	1
b0976	1036353	1036752	1
b0977	1036748	1037606	1
b0978	1037739	1039284	1
b0979	1039295	1040432	1
b4592	1040444	1040537	1
b0980	1040616	1041915	1
b0981	1042029	1044210	-1
b0982	1044229	1044676	-1
b0983	1044663	1045803	-1
b0984	1045848	1047945	-1
b0985	1047944	1048691	-1
b0986	1048687	1049332	-1
b0987	1049438	1049744	-1
b4516	1049832	1050108	1
b0988	1050026	1050530	1
b0989	1050962	1051175	-1
b0990	1051460	1051673	1
b4723	1051683	1051872	1
b0991	1051846	1052077	1
b4517	1052066	1052240	1
b0992	1052288	1053362	-1
b0993	1053433	1056178	-1
b0994	1056260	1057289	1
b0995	1057261	1057954	-1
b0996	1058083	1059256	1
b0997	1059255	1061802	1
b0998	1061798	1062398	1
b0999	1062549	1062855	-1
b1000	1062854	1063775	-1
b1001	1064035	1065292	1
b1002	1065584	1066826	1
b1003	1066863	1067091	-1
b1004	1067111	1067708	-1
b4518	1068080	1068254	1
b1006	1068510	1069839	-1
b1007	1069859	1070354	-1
b1008	1070364	1070955	-1
b1009	1070964	1071765	-1
b1010	1071772	1072159	-1
b1011	1072170	1072863	-1
b1012	1072862	1074011	-1
b1013	1074241	1074880	1
b1014	1074919	1078882	-1
b4737	1079023	1079146	1
b1015	1079304	1080813	1
b1018	1082242	1083370	1
b1019	1083375	1084647	1
b1020	1084991	1086056	1
b1021	1086105	1086519	-1
b1022	1086520	1087846	-1
b1023	1087838	1089857	-1
b1024	1089865	1092289	-1
b1025	1092875	1094234	1
b1026	1094274	1095141	-1
b1027	1095137	1095437	-1
b1029	1095842	1096829	1
b1033	1097885	1098824	1
b1034	1098878	1099616	1
b1035	1099639	1100194	1
b1036	1100295	1100787	1
b1037	1100850	1101684	-1
b1038	1101710	1102127	-1
b1039	1102151	1102541	-1
b1040	1102545	1103196	-1
b1041	1103950	1104406	1
b1042	1104446	1104902	1
b1043	1104960	1105293	1
b1044	1105413	1105725	1
b1045	1105819	1106353	1
b1046	1106354	1107776	1
b1047	1107783	1108941	-1
b1048	1109334	1110870	1
b1049	1110862	1113406	1
b1050	1113578	1113806	1
b1051	1113806	1114181	-1
b1053	1114263	1115490	-1
b1054	1115661	1116582	-1
b1055	1116806	1117859	1
b1056	1117900	1118476	-1
b1057	1118479	1119046	-1
b1058	1119306	1119447	-1
b1059	1119467	1120586	-1
b1060	1120700	1120955	-1
b1061	1121241	1121487	-1
b1062	1121560	1122607	-1
b1063	1122712	1123273	-1
b1064	1123406	1124054	-1
b1065	1124117	1125326	-1
b1066	1125561	1126146	1
b1067	1126156	1126804	1
b1068	1126805	1127729	1
b1069	1127838	1129374	1
b1070	1129413	1129830	-1
b1071	1129834	1130128	-1
b1072	1130203	1130863	-1
b1073	1131017	1131434	1
b1074	1131437	1131842	1
b1075	1131853	1132549	1
b1076	1132573	1133782	1
b1077	1133801	1134557	1
b1078	1134728	1135511	1
b1079	1135563	1136262	1
b1080	1136273	1137371	1
b1081	1137370	1138312	1
b1082	1138377	1140021	1
b1083	1140032	1140986	1
b1084	1141181	1144367	-1
b1085	1144501	1144822	1
b1086	1144939	1145899	1
b1087	1146010	1146595	-1
b1088	1146793	1147315	1
b1089	1147366	1147540	1
b1090	1147620	1148691	1
b1091	1148758	1149712	1
b1092	1149727	1150657	1
b1093	1150669	1151404	1
b1094	1151614	1151851	1
b1095	1151938	1153180	1
b1096	1153299	1154109	1
b1097	1154111	1155134	1
b1098	1155123	1155765	1
b1099	1155761	1156766	1
b1100	1156776	1157574	1
b1101	1157868	1159302	1
b1102	1159361	1161551	-1
b1103	1161884	1162244	1
b1104	1162246	1162624	1
b1105	1162637	1163279	1
b1106	1163259	1164084	1
b1107	1164094	1165120	1
b1108	1165142	1165685	1
b1109	1166084	1167389	1
b1110	1167598	1168138	1
b1111	1168199	1168832	-1
b1112	1169072	1169330	1
b1113	1169411	1170374	-1
b1114	1170517	1173964	-1
b1115	1174091	1175165	-1
b1116	1175426	1176626	1
b1117	1176618	1177320	1
b1118	1177319	1178564	1
b1119	1178592	1179504	1
b1120	1179519	1180359	1
b1121	1180478	1181267	-1
b1122	1181263	1181725	-1
b1123	1181782	1182829	-1
b1124	1182825	1183620	-1
b1125	1183616	1184444	-1
b1126	1184457	1185594	-1
b1127	1185843	1187070	1
b1128	1187118	1188240	-1
b1129	1188315	1189776	-1
b1130	1189775	1190447	-1
b1131	1190615	1191986	-1
b1132	1191989	1192631	-1
b1133	1192666	1193773	-1
b1134	1193826	1194288	-1
